mp_id,full_name,club,mandate_status,district_number,okreg_nazwa,emails,image_url,wybrany_dnia,lista,liczba_glosow,slubowanie,staz_parlamentarny,data_urodzenia,miejsce_urodzenia,wyksztalcenie,ukonczona_szkola,zawod
011,Piotr Babinetz,PiS,aktywny,22,Krosno,Piotr.Babinetz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5F342EBF7A3EB797C1258A51003B9B31/$File/011.jpg,15-10-2023,Prawo i Sprawiedliwość,12829,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",09-09-1969,Krosno,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Historia - magister (2007)","historyk, muzealnik"
012,Ryszard Bartosik,PiS,aktywny,37,Konin,Ryszard.Bartosik@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C3A4E2DBA32312C8C1258A51003B9B35/$File/012.jpg,15-10-2023,Prawo i Sprawiedliwość,25371,13-11-2023,poseł na Sejm RP VIII i IX kadencji,11-01-1968,Turek,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",politolog
013,Władysław Bartoszewski,PSL-TD,aktywny,19,Warszawa,Wladyslaw.Bartoszewski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/422B987C325121DCC1258A51003B9B3C/$File/013.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,34563,13-11-2023,poseł na Sejm RP IX kadencji,22-10-1955,Warszawa,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Etnografia - magister (1980) | University of Cambridge, Wielka Brytania, Antropologia Społeczna - doktor - samodzielny pracownik naukowy (1984)",pracownik naukowy
014,Barbara Bartuś,PiS,aktywny,14,Nowy Sącz,Barbara.Bartus@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1810FE92FD939D5BC1258A51003B9B40/$File/014.jpg,,Prawo i Sprawiedliwość,21250,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",03-07-1967,Gorlice,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2000) | Uniwersytet Rzeszowski, Wydział Prawa, Prawo - magister (2003)",prawnik
015,Paweł Bejda,PSL-TD,aktywny,11,Sieradz,Pawel.Bejda@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/132F5DA2FDEEF91CC1258A51003B9B45/$File/015.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,25363,13-11-2023,poseł na Sejm RP VIII i IX kadencji,13-10-1962,Łowicz,wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Mechaniczny, Technologia Maszyn - magister inżynier (1987) | Politechnika Łódzka, Wydział Organizacji i Zarządzania, Menedżerskie (2001) - studia podyplomowe | Wojskowa Akademia Techniczna w Warszawie, Zarządzanie Nieruchomościami. Pośrednictwo w obrocie nieruchomościami (2009) - studia podyplomowe","inżynier mechanik, menedżer"
016,Konrad Berkowicz,Konfederacja,aktywny,13,Kraków,Konrad.Berkowicz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/84853743072D47B3C1258A51003B9B4A/$File/016.jpg,15-10-2023,Konfederacja Wolność i Niepodległość,36918,13-11-2023,poseł na Sejm RP IX kadencji,27-05-1984,Kraków,wyższe,"Uniwersytet Warszawski, Wydział Filozofii, Filozofia - magister (2023)",programista
017,Sylwia Bielawska,KO,aktywny,2,Wałbrzych,Sylwia.Bielawska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/CA8C0E162635E186C1258A51003B9B4E/$File/017.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,17577,13-11-2023,brak,27-04-1975,Głuszyca,wyższe,"Wyższa Szkoła Pedagogiczna im. T. Kotarbińskiego w Zielonej Górze, Wydział Humanistyczny, Filologia Polska - licencjat (1997) | Wyższa Szkoła Pedagogiczna im. T. Kotarbińskiego w Zielonej Górze, Wydział Humanistyczny, Filologia Polska - magister (1999) | Uniwersytet im. Adama Mickiewicza w Poznaniu, Edytorstwo (2003) - studia podyplomowe | Uniwersytet Wrocławski, Bibliologia - doktor (2010) | Uniwersytet Ekonomiczny w Krakowie - Krakowska Szkoła Biznesu, MBA in Community Management (2020) - studia podyplomowe | Wyższa Szkoła Bankowa w Poznaniu, Doradztwo Zawodowe i Coaching Kariery (2022) - studia podyplomowe",pracownik samorządowy
018,Marek Biernacki,PSL-TD,aktywny,26,Słupsk,Marek.Biernacki@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EB0C25FB0B308221C1258A51003B9B53/$File/018.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,34369,13-11-2023,"poseł na Sejm RP III, V, VI, VII, VIII i IX kadencji",28-04-1959,Sopot,wyższe,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1985)",prawnik
019,Paweł Bliźniuk,KO,aktywny,9,Łódź,Pawel.Blizniuk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/05DC28670A43E66EC1258A51003B9B58/$File/019.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,12315,13-11-2023,brak,11-10-1986,Łódź,średnie ogólne,XXI LO im. Bolesława Prusa w Łodzi,pracownik administracji samorządowej
020,Mariusz Błaszczak,PiS,aktywny,20,Warszawa,Mariusz.Blaszczak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B344F1C2525F388BC1258A51003B9B5D/$File/020.jpg,15-10-2023,Prawo i Sprawiedliwość,127578,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",19-09-1969,Legionowo,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1995) | Uniwersytet Warszawski, Samorząd Terytorialny i Rozwój Lokalny (1998) - studia podyplomowe | Słuchacz KSAP IX Promocji (2001) - studia podyplomowe",urzędnik państwowy
021,Mateusz Bochenek,KO,aktywny,32,Katowice,Mateusz.Bochenek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D10BC31406890512C1258A51003B9B61/$File/021.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,15117,13-11-2023,poseł na Sejm RP IX kadencji,12-03-1993,Sosnowiec,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki Społeczne - licencjat (2015) | Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki Humanistyczne - magister (2018) | Akademia WSB w Dąbrowie Górniczej, MBA, MBA (2018) - studia podyplomowe",parlamentarzysta
022,Rafał Bochenek,PiS,aktywny,12,Kraków,Rafal.Bochenek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/2F98B85799D3FBFFC1258A51003B9B66/$File/022.jpg,15-10-2023,Prawo i Sprawiedliwość,42142,13-11-2023,poseł na Sejm RP IX kadencji,14-08-1986,Kraków,wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2011) | Krakowska Izba Notarialna, Aplikacja Notarialna (2014) | Krakowska Szkoła Biznesu przy Uniwersytecie Ekonomicznym, MBA (2019) - studia podyplomowe",prawnik
023,Izabela Bodnar,niez.,aktywny,3,Wrocław,Izabela.Bodnar@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/7D1C374993FF7D71C1258A51003B9B6B/$File/023.jpg,,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,26404,13-11-2023,brak,13-02-1975,Lubliniec,wyższe,"Wyższa Szkoła Bankowa we Wrocławiu, Bankowość - licencjat (2000) | Uniwersytet Ekonomiczny we Wrocławiu, Wydział Gospodarki Narodowej, Finanse Przedsiębiorstw - magister (2002)",ekonomista
024,Jacek Bogucki,PiS,aktywny,24,Białystok,Jacek.Bogucki@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/7FA28B5F37014454C1258A51003B9B6F/$File/024.jpg,15-10-2023,Prawo i Sprawiedliwość,12032,13-11-2023,"poseł na Sejm RP V, VI, VII i VIII kadencji, senator X kadencji",13-02-1959,Wysokie Mazowieckie,wyższe,"Politechnika Lubelska, Wydział Technologii i Eksploatacji Maszyn, Mechanika - magister inżynier (1982)",inżynier mechanik
025,Zbigniew Bogucki,PiS,wygasl,41,Szczecin,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D4A34AD45D836D07C1258A51003B9B74/$File/025.jpg,15-10-2023,Prawo i Sprawiedliwość,26375,13-11-2023,brak,26-01-1980,Góra,wyższe,"Uniwersytet Szczeciński, Wydział Prawa i Administracji, Prawo - magister (2004)",adwokat
026,Krzysztof Bojarski,KO,aktywny,6,Lublin,Krzysztof.Bojarski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/86D6726E036344B6C1258A51003B9B79/$File/026.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,10672,13-11-2023,brak,11-07-1968,Annopol,wyższe,"Uniwersytet Medyczny w Lublinie, Wydział Lekarski, Lekarski - lekarz (1992)",lekarz
027,Joanna Borowiak,PiS,aktywny,5,Toruń,Joanna.Borowiak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/4CCCA9676DCB2B3CC1258A51003B9B7D/$File/027.jpg,,Prawo i Sprawiedliwość,25995,13-11-2023,poseł na Sejm RP VIII i IX kadencji,20-08-1967,Włocławek,wyższe,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Wydział Pedagogiczny, Wychowanie Muzyczne - magister (1993) | Uniwersytet Mikołaja Kopernika w Toruniu, Pedagogika - doktor (2005) | Uniwersytet Mikołaja Kopernika w Toruniu, Pedagogika Zdolności i Twórczości (2018) - studia podyplomowe | Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu, Relacje Międzynarodowe i Dyplomacja (2018) - studia podyplomowe","nauczyciel, nauczyciel akademicki"
028,Kamil Bortniczuk,PiS,aktywny,16,Płock,Kamil.Bortniczuk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A57DDB26B47D6450C1258A51003B9B84/$File/028.jpg,15-10-2023,Prawo i Sprawiedliwość,31555,13-11-2023,poseł na Sejm RP VIII i IX kadencji,11-06-1983,Głuchołazy,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - magister (2007) | Uniwersytet Wrocławski, Fundusze Strukturalne Unii Europejskiej (2008) - studia podyplomowe | Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2017) | Akademia WSB w Dąbrowie Górniczej, MBA (2019) - studia podyplomowe","menedżer, prawnik, urzędnik państwowy"
029,Piotr Borys,KO,aktywny,1,Legnica,Piotr.Borys@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/7C146C7E97C925CBC1258A51003B9B88/$File/029.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,44912,13-11-2023,poseł na Sejm RP IX kadencji,11-01-1976,Bolesławiec,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (2001)",prawnik
030,Bożena Borys-Szopa,PiS,aktywny,29,Katowice,Bozena.Borys-Szopa@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/AF0FCAF22AFF8F3FC1258A51003B9B8D/$File/030.jpg,,Prawo i Sprawiedliwość,30445,13-11-2023,poseł na Sejm RP VIII i IX kadencji,11-03-1954,Lędziny,wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1996) | Akademia Górniczo-Hutnicza w Krakowie, Zarządzanie Przedsiębiorstwem (1998) - studia podyplomowe",prawnik
031,Marcin Bosacki,KO,aktywny,39,Poznań,Marcin.Bosacki@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6B65A036E48628FEC1258A51003B9B92/$File/031.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,24197,13-11-2023,senator X kadencji,05-11-1970,Poznań,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny - magister (1995)",
032,Karina Anna Bosak,Konfederacja,aktywny,20,Warszawa,Karina.Bosak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/4EC62CCC3758A576C1258A51003B9B99/$File/032.jpg,,Konfederacja Wolność i Niepodległość,21217,13-11-2023,brak,08-07-1988,Szczecin,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2012)",adwokat
033,Krzysztof Bosak,Konfederacja,aktywny,24,Białystok,Krzysztof.Bosak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/834067691A2AB864C1258A51003B9B9E/$File/033.jpg,15-10-2023,Konfederacja Wolność i Niepodległość,44902,13-11-2023,poseł na Sejm RP V i IX kadencji,13-06-1982,Zielona Góra,średnie ogólne,I Liceum Ogólnokształcące w Zielonej Górze (2000),parlamentarzysta
034,Grzegorz Braun,Konfederacja,wygasl,23,Rzeszów,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/932F869CCD0B6A54C1258A51003B9BA3/$File/034.jpg,15-10-2023,Konfederacja Wolność i Niepodległość,26895,13-11-2023,poseł na Sejm RP IX kadencji,11-03-1967,Toruń,wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Polonistyka - magister (1993)","publicysta, reżyser"
035,Krzysztof Brejza,KO,wygasl,4,Bydgoszcz,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/FB9D51BCDA4F88E6C1258A51003B9BA8/$File/035.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,89840,13-11-2023,"poseł na Sejm RP VI, VII i VIII kadencji, senator X kadencji",16-05-1983,Bydgoszcz,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2007) | Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Stosunki Międzynarodowe - magister (2012) | Szkoła Wyższa Psychologii Społecznej w Warszawie, Nauki Prawne - doktor (2014)",prawnik
036,Agnieszka Buczyńska,Polska2050-TD,aktywny,25,Gdańsk,Agnieszka.Buczynska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/92ED039E58235D58C1258A51003B9BAC/$File/036.jpg,,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,35213,13-11-2023,brak,22-09-1986,Tczew,wyższe,"Uniwersytet Gdański, Wydział Nauk Społecznych, Politologia - licencjat (2009) | Wyższa Szkoła Zarządzania, Wydział Nauk Społecznych, Socjologia - licencjat (2009) | Collegium Civitas (Warszawa), Wydział Nauk Społecznych, Socjologia - magister (2012) | Wyższa Szkoła Bankowa w Gdańsku, MBA LEADERSHIP (2020) - studia podyplomowe","politolog, socjolog"
037,Waldemar Buda,PiS,wygasl,9,Łódź,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/874D5AF9E5432A52C1258A51003B9BB1/$File/037.jpg,15-10-2023,Prawo i Sprawiedliwość,45474,13-11-2023,poseł na Sejm RP VIII i IX kadencji,21-09-1982,Turek,wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (2006) | Aplikacja Radcowska przy OIRP w Łodzi, Radca Prawny (2011) - studia podyplomowe",radca prawny
038,Borys Budka,KO,wygasl,31,Katowice,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/873639C6C5B7BB08C1258A51003B9BB6/$File/038.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,101258,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",11-03-1978,Czeladź,wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (2002) | Uniwersytet Ekonomiczny w Katowicach, Wydział Finansów i Ubezpieczeń, Ekonomia - doktor (2011)","nauczyciel akademicki, radca prawny"
039,Elżbieta Burkiewicz,Polska2050-TD,aktywny,23,Rzeszów,Elzbieta.Burkiewicz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6F65B0A3B35C063DC1258A51003B9BBA/$File/039.jpg,,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,11582,13-11-2023,brak,17-10-1964,Mielec,wyższe,"Uniwersytet Śląski, Wydział Pedagogiczno-Artystyczny, Wychowanie Plastyczne - magister (1991)",przedsiębiorca prywatny
040,Lidia Burzyńska,PiS,aktywny,28,Częstochowa,Lidia.Burzynska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/547C652A4D1758E5C1258A51003B9BBF/$File/040.jpg,,Prawo i Sprawiedliwość,49713,13-11-2023,poseł na Sejm RP VIII i IX kadencji,27-08-1964,Rzeki Wielkie,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Historia - magister (1990) | Wyższa Szkoła Pedagogiczna w Częstochowie, Fizyka z Informatyką (1999) - studia podyplomowe | Wyższa Szkoła Zarządzania i Przedsiębiorczości w Kaliszu, Organizacja i Zarządzanie - menedżer w oświacie (2001) - studia podyplomowe | Regionalny Ośrodek Doskonalenia Nauczycieli ""WOM"", Oligofrenopedagogika (2007) - studia podyplomowe",nauczyciel
041,Marek Jan Chmielewski,KO,aktywny,2,Wałbrzych,Marek.Chmielewski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/4923A4556E1FF643C1258A51003B9BC4/$File/041.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,9108,13-11-2023,brak,06-05-1962,Dzierżoniów,wyższe,"Akademia Rolnicza we Wrocławiu, Wydział Technologii Żywności, Technologia Żywności - magister inżynier (1986)",technolog żywności
042,Zbigniew Chmielowiec,PiS,aktywny,23,Rzeszów,Zbigniew.Chmielowiec@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5A60A5DB8E28BB52C1258A51003B9BCA/$File/042.jpg,15-10-2023,Prawo i Sprawiedliwość,18574,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",22-09-1954,Kolbuszowa,wyższe,"Politechnika Krakowska, Wydział Inżynierii Sanitarnej - magister inżynier (1980)",inżynier inżynierii środowiska
043,Artur Chojecki,PiS,aktywny,35,Olsztyn,Artur.Chojecki@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/7EC15187A16FB3EBC1258A51003B9BCF/$File/043.jpg,15-10-2023,Prawo i Sprawiedliwość,17418,13-11-2023,brak,19-04-1974,Elbląg,wyższe,"Uniwersytet Warmińsko-Mazurski, Wydział Teologii, Teologia - magister (2001)",urzędnik państwowy
044,Kazimierz Bogusław Choma,PiS,aktywny,6,Lublin,Kazimierz.Choma@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/4C8FD16B2C667A58C1258A51003B9BD3/$File/044.jpg,15-10-2023,Prawo i Sprawiedliwość,8363,13-11-2023,poseł na Sejm RP IX kadencji,16-12-1957,Kraśnik,wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Metali Nieżelaznych, Metalurgia Metali Nieżelaznych - magister inżynier (1981) | Wyższa Szkoła National-Louis University w Nowym Sączu, Zarządzanie Firmą (1998) - studia podyplomowe | Warszawska Szkoła Zarządzania-Szkoła Wyższa, Zarządzanie Nieruchomościami (2012) - studia podyplomowe | Collegium Humanum - Szkoła Główna Menedżerska w Warszawie, Executive Master of Business Administration (MBA) (2020) - studia podyplomowe",zarządzanie zasobami ludzkimi
045,Dominika Chorosińska,PiS,aktywny,20,Warszawa,Dominika.Chorosinska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8D886543A0002604C1258A51003B9BD6/$File/045.jpg,,Prawo i Sprawiedliwość,9582,13-11-2023,poseł na Sejm RP IX kadencji,29-12-1978,Elbląg,wyższe,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Aktorski, Aktorstwo Dramatyczne - magister sztuki (2000) | Akademia Leona Koźmińskiego w Warszawie, Zarządzanie w Mediach (2022) - studia podyplomowe",aktorka
046,Tadeusz Chrzan,PiS,aktywny,22,Krosno,Tadeusz.Chrzan@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/45C252308ACE6091C1258A51003B9BDB/$File/046.jpg,15-10-2023,Prawo i Sprawiedliwość,12184,13-11-2023,poseł na Sejm RP IX kadencji,14-09-1963,Grodzisko Dolne,wyższe,"Politechnika Lubelska, Wydział Zarządzania, Przedsiębiorczość i Marketing - magister (2010) | Wyższa Szkoła Menedżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",geodeta
047,Alicja Chybicka,KO,aktywny,3,Wrocław,Alicja.Chybicka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1E1EB239E5C33E0BC1258A51003B9BE1/$File/047.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,78816,13-11-2023,"poseł na Sejm RP VIII kadencji, senator VIII i X kadencji",10-05-1951,Wałbrzych,wyższe,"Akademia Medyczna we Wrocławiu, Wydział Lekarski, Nauki Medyczne - lekarz (1975)",lekarz
048,Anna Ewa Cicholska,PiS,aktywny,16,Płock,Anna.Cicholska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5CC5EE8ADA61976FC1258A51003B9BE6/$File/048.jpg,,Prawo i Sprawiedliwość,19074,13-11-2023,poseł na Sejm RP VIII i IX kadencji,07-02-1962,Ciechanów,wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki, Fizyki i Chemii, Chemia - magister (1991) | Uniwersytet Warszawski, Fizyka z Astronomią (2001) - studia podyplomowe",nauczyciel
