mp_id,full_name,club,mandate_status,district_number,office_name,street,postal_code,city,voivodeship,phone,email,raw_address
009,Marek Ast,PiS,aktywny,8,Biuro Poselskie Marka Asta - PiS,Plac Wolności 6,68-100,Żagań,lubuskie,tel. (68) 323 07 70,biuromarkaasta@wp.pl,Plac Wolności 6 | 68-100 Żagań | woj. lubuskie
009,Marek Ast,PiS,aktywny,8,Biuro Poselskie Marka Asta - PiS,ul. Kilińskiego 1,67-400,Wschowa,lubuskie,tel. (68) 323 07 70,biuromarkaasta@wp.pl,ul. Kilińskiego 1 | 67-400 Wschowa | woj. lubuskie
009,Marek Ast,PiS,aktywny,8,Biuro Poselskie Marka Asta i Władysława Dajczaka,ul. Kazimierza Wielkiego 2,66-300,Międzyrzecz,lubuskie,tel. (68) 323 07 70,biuromarkaasta@wp.pl,ul. Kazimierza Wielkiego 2 | 66-300 Międzyrzecz | woj. lubuskie
009,Marek Ast,PiS,aktywny,8,Biuro Poselskie Marka Asta-PiS,ul. Parafialna 4 lok. 8,67-100,Nowa Sól,lubuskie,tel. (68) 323 07 70,,ul. Parafialna 4 lok. 8 | 67-100 Nowa Sól | woj. lubuskie
010,Urszula Augustyn,KO,aktywny,15,*Biuro Poselskie Posłanki Urszuli Augustyn,ul. Wałowa 29,33-100,Tarnów,małopolskie,tel. 668 218 797,urszula.augustyn@sejm.pl,ul. Wałowa 29 | 33-100 Tarnów | woj. małopolskie
010,Urszula Augustyn,KO,aktywny,15,Filia Biura Poselskiego Posłanki Urszuli Augustyn w Wieliczce,ul. Kościuszki 2,32-020,Wieliczka,małopolskie,tel. 668 218 797,,ul. Kościuszki 2 | 32-020 Wieliczka | woj. małopolskie
011,Piotr Babinetz,PiS,aktywny,22,*Biuro Poselskie PiS Posła Piotra Babinetz,ul. Tkacka 2a,38-400,Krosno,podkarpackie,tel. (13) 436 40 23,biuroposelskie@wp.pl,ul. Tkacka 2a | 38-400 Krosno | woj. podkarpackie
011,Piotr Babinetz,PiS,aktywny,22,Biuro Poselskie - Filia w Brzozowie,ul. Rynek 8,36-200,Brzozów,podkarpackie,tel. (13) 436 40 23,biuroposelskie@wp.pl,ul. Rynek 8 | 36-200 Brzozów | woj. podkarpackie
011,Piotr Babinetz,PiS,aktywny,22,Biuro Poselskie - Filia w Rymanowie,ul. Rynek 9 lok. 1,38-480,Rymanów,podkarpackie,tel. (13) 436 40 23,biuroposelskie@wp.pl,ul. Rynek 9 lok. 1 | 38-480 Rymanów | woj. podkarpackie
011,Piotr Babinetz,PiS,aktywny,22,Biuro Poselskie - Filia w Sanoku Piotra Babinetza,ul. 3 Maja 5,38-500,Sanok,podkarpackie,tel. (13) 436 40 23,biuroposelskie@wp.pl,ul. 3 Maja 5 | 38-500 Sanok | woj. podkarpackie
012,Ryszard Bartosik,PiS,aktywny,37,*Biuro Posła Ryszarda Bartosika,Al. Mickiewicza 1A,62-700,Turek,wielkopolskie,tel. 887 102 109,ryszardbartosik@interia.pl,Al. Mickiewicza 1A | 62-700 Turek | woj. wielkopolskie
013,Władysław Bartoszewski,PSL-TD,aktywny,19,*Biuro Poselskie Władysława Teofila Bartoszewskiego,ul. Marszałkowska 2 lok. 4,00-581,Warszawa,mazowieckie,tel. 601 372 258,biuro@bartoszewski.net,ul. Marszałkowska 2 lok. 4 | 00-581 Warszawa | woj. mazowieckie
014,Barbara Bartuś,PiS,aktywny,14,*Biuro Poselskie Posła na Sejm RP Barbary Bartuś,ul. Ks. B. Świeykowskiego 3 lok. 3,38-300,Gorlice,małopolskie,tel. (18) 352 01 13,barbara.bartus@sejm.pl,ul. Ks. B. Świeykowskiego 3 lok. 3 | 38-300 Gorlice | woj. małopolskie
014,Barbara Bartuś,PiS,aktywny,14,Biuro Poselskie Posła na Sejm RP Barbary Bartuś,ul. Jagiellońska 14,33-300,Nowy Sącz,małopolskie,,barbara.bartus@sejm.pl,ul. Jagiellońska 14 | 33-300 Nowy Sącz | woj. małopolskie
015,Paweł Bejda,PSL-TD,aktywny,11,*Biuro Poselskie Poseł Paweł Bejda,ul. Pijarska 1,99-400,Łowicz,łódzkie,tel. 575 648 850,bejda.biuroposelskie@gmail.com,ul. Pijarska 1 | 99-400 Łowicz | woj. łódzkie
015,Paweł Bejda,PSL-TD,aktywny,11,Biuro Poselskie Pawła Bejdy Filia w Kutnie,ul. Grunwaldzka 1,99-300,Kutno,łódzkie,tel. 694 262 003,bejda.biuroposelskie@gmail.com,ul. Grunwaldzka 1 | 99-300 Kutno | woj. łódzkie
015,Paweł Bejda,PSL-TD,aktywny,11,Biuro Poselskie Pawła Bejdy Filia w Sieradzu,Plac Wojewódzki 3,98-200,Sieradz,łódzkie,tel. 607 603 895,bejda.biuroposelskie@gmail.com,Plac Wojewódzki 3 | 98-200 Sieradz | woj. łódzkie
015,Paweł Bejda,PSL-TD,aktywny,11,Biuro Poselskie Pawła Bejdy Filia w Zgierzu,ul. Armii Krajowej 2,95-100,Zgierz,łódzkie,tel. 575 648 850,bejda.biuroposelskie@gmail.com,ul. Armii Krajowej 2 | 95-100 Zgierz | woj. łódzkie
016,Konrad Berkowicz,Konfederacja,aktywny,13,*Centrum Wolności - Biuro Poselskie Posła na Sejm RP Konrada Berkowicza,ul. Konopnickiej 3 lok. 1,30-302,Kraków,małopolskie,tel. (12) 387 78 38,konrad.berkowicz@sejm.pl,ul. Konopnickiej 3 lok. 1 | 30-302 Kraków | woj. małopolskie
017,Sylwia Bielawska,KO,aktywny,2,*Biuro Poselskie Sylwii Bielawskiej,ul. Dmowskiego 6,58-300,Wałbrzych,dolnośląskie,tel. 608 397 598,biuro@sylwiabielawska.eu,ul. Dmowskiego 6 | 58-300 Wałbrzych | woj. dolnośląskie
018,Marek Biernacki,PSL-TD,aktywny,26,*Biuro Poselskie Posła X Kadencji Sejmu RP Marka Biernackiego,ul. Pucka 14 lok. 3A,84-200,Wejherowo,pomorskie,tel. 690 060 460,marek.biernacki@sejm.pl,ul. Pucka 14 lok. 3A | 84-200 Wejherowo | woj. pomorskie
018,Marek Biernacki,PSL-TD,aktywny,26,Biuro Poselskie Posła Marka Biernackiego Filia Chojnice,ul. Młyńska 23B,89-620,Chojnice,pomorskie,tel. 690 060 460,marek.biernacki@sejm.pl,ul. Młyńska 23B | 89-620 Chojnice | woj. pomorskie
019,Paweł Bliźniuk,KO,aktywny,9,*Biuro Poselskie Pawła Bliźniuka,ul. Piotrkowska 148/150,90-063,Łódź,łódzkie,tel. 791 666 157,pawel.blizniuk@sejm.pl,ul. Piotrkowska 148/150 | 90-063 Łódź | woj. łódzkie
020,Mariusz Błaszczak,PiS,aktywny,20,*Biuro Poselskie Mariusza Błaszczaka,ul. Koszykowa 10,00-564,Warszawa,mazowieckie,,,ul. Koszykowa 10 | 00-564 Warszawa | woj. mazowieckie
020,Mariusz Błaszczak,PiS,aktywny,20,Biuro Poselskie Mariusza Błaszczaka,ul. Jagiellońska 8,05-120,Legionowo,mazowieckie,,,ul. Jagiellońska 8 | 05-120 Legionowo | woj. mazowieckie
020,Mariusz Błaszczak,PiS,aktywny,20,Biuro Poselskie Mariusza Błaszczaka,ul. Niecała 10,05-800,Pruszków,mazowieckie,,,ul. Niecała 10 | 05-800 Pruszków | woj. mazowieckie
021,Mateusz Bochenek,KO,aktywny,32,*Biuro Poselskie Mateusza Bochenka,ul. 3 Maja 35A,41-200,Sosnowiec,śląskie,tel. 513 679 168,mateusz.bochenek@sejm.pl,ul. 3 Maja 35A | 41-200 Sosnowiec | woj. śląskie
021,Mateusz Bochenek,KO,aktywny,32,Regionalne Biuro Poselsko-Senatorskie,ul. Chłodna 2A,40-311,Katowice,śląskie,,,ul. Chłodna 2A | 40-311 Katowice | woj. śląskie
022,Rafał Bochenek,PiS,aktywny,12,*Biuro Poselskie Posła na Sejm RP Rafała Bochenka,ul. Górnickiego 1,32-600,Oświęcim,małopolskie,tel. 510 146 446,,ul. Górnickiego 1 | 32-600 Oświęcim | woj. małopolskie
023,Izabela Bodnar,niez.,aktywny,3,*Biuro Poselskie Izabela Bodnar,Plac Wolności 9,50-071,Wrocław,dolnośląskie,,,Plac Wolności 9 | 50-071 Wrocław | woj. dolnośląskie
024,Jacek Bogucki,PiS,aktywny,24,*Biuro Poselskie Jacka Boguckiego,ul. Mystkowska 43 lok. 6,18-200,Wysokie Mazowieckie,podlaskie,tel. (86) 275-07-00 fax (86) 275-07-00,,ul. Mystkowska 43 lok. 6 | 18-200 Wysokie Mazowieckie | woj. podlaskie
026,Krzysztof Bojarski,KO,aktywny,6,*Biuro Poselskie - Krzysztof Bojarski,Plac Kościuszki 4,21-010,Łęczna,lubelskie,,,Plac Kościuszki 4 | 21-010 Łęczna | woj. lubelskie
027,Joanna Borowiak,PiS,aktywny,5,*Biuro Poselskie Posła na Sejm RP Joanny Borowiak,Plac Wolności 1 lok. 1,87-800,Włocławek,kujawsko-pomorskie,tel. 603 122 315,biuroposelskie.joannyborowiak@gmail.com,Plac Wolności 1 lok. 1 | 87-800 Włocławek | woj. kujawsko-pomorskie
027,Joanna Borowiak,PiS,aktywny,5,Biuro Poselskie Posła na Sejm RP Joanny Borowiak,Pl. 11 Listopada 10,87-600,Lipno,kujawsko-pomorskie,tel. 603 122 315,biuroposelskie.joannyborowiak@gmail.com,Pl. 11 Listopada 10 | 87-600 Lipno | woj. kujawsko-pomorskie
028,Kamil Bortniczuk,PiS,aktywny,16,*Biuro Poselskie Posła na Sejm RP Kamila Bortniczuka,ul. Rynek 36C lok. 11p/R,48-300,Nysa,opolskie,,poselbortniczuk.biuro@gmail.com,ul. Rynek 36C lok. 11p/R | 48-300 Nysa | woj. opolskie
028,Kamil Bortniczuk,PiS,aktywny,16,Biuro Poselskie Posła na Sejm RP Kamila Bortniczuka,ul. Grunwaldzka 3,47-220,Kędzierzyn-Koźle,opolskie,,poselbortniczuk.biuro@gmail.com,ul. Grunwaldzka 3 | 47-220 Kędzierzyn-Koźle | woj. opolskie
028,Kamil Bortniczuk,PiS,aktywny,16,Biuro Poselskie Posła na Sejm RP Kamila Bortniczuka,ul. Oleska 1 lok. 1B,45-052,Opole,opolskie,,poselbortniczuk.biuro@gmail.com,ul. Oleska 1 lok. 1B | 45-052 Opole | woj. opolskie
029,Piotr Borys,KO,aktywny,1,*Biuro Poselskie Posła na Sejm RP Piotra Borysa w Lubinie,ul. Piastowska 2,59-300,Lubin,dolnośląskie,tel. 570 801 918,lubin.biuro@wp.pl,ul. Piastowska 2 | 59-300 Lubin | woj. dolnośląskie
029,Piotr Borys,KO,aktywny,1,Biuro Poselskie Posła na Sejm RP Piotra Borysa w Bolesławcu,ul. Kaszubska 4,59-700,Bolesławiec,dolnośląskie,tel. 570 801 918,lubin.biuro@wp.pl,ul. Kaszubska 4 | 59-700 Bolesławiec | woj. dolnośląskie
029,Piotr Borys,KO,aktywny,1,Biuro Poselskie Posła na Sejm RP Piotra Borysa w Jaworze,ul. Armii Krajowej 1,59-400,Jawor,dolnośląskie,tel. 570 801 918,lubin.biuro@wp.pl,ul. Armii Krajowej 1 | 59-400 Jawor | woj. dolnośląskie
030,Bożena Borys-Szopa,PiS,aktywny,29,*Biuro Poselskie Poseł Bożeny Borys-Szopa,ul. Piłsudskiego 12 lok. 319,43-100,Tychy,śląskie,tel. 536 466 533,biuro.warszawska.katowice@gmail.com,ul. Piłsudskiego 12 lok. 319 | 43-100 Tychy | woj. śląskie
031,Marcin Bosacki,KO,aktywny,39,*Biuro Poselskie Posła Marcina Bosackiego,ul. Zwierzyniecka 13,60-813,Poznań,wielkopolskie,tel. (61) 842 7223,biuro@marcinbosacki.pl,ul. Zwierzyniecka 13 | 60-813 Poznań | woj. wielkopolskie
032,Karina Anna Bosak,Konfederacja,aktywny,20,*Karina Bosak Biuro Poselskie,ul. Parkowa 4 lok. 7,05-420,Józefów,mazowieckie,tel. 572 420 502,karina.bosak@sejm.pl,ul. Parkowa 4 lok. 7 | 05-420 Józefów | woj. mazowieckie
033,Krzysztof Bosak,Konfederacja,aktywny,24,*Biuro Poselskie Krzysztofa Bosaka,ul. Piękna 1B lok. 19,00-539,Warszawa,mazowieckie,tel. 519 115 095,,ul. Piękna 1B lok. 19 | 00-539 Warszawa | woj. mazowieckie
033,Krzysztof Bosak,Konfederacja,aktywny,24,Biuro Poselskie Krzysztofa Bosaka,ul. Warszawska 9 lok. 4,15-062,Białystok,podlaskie,tel. 884 968 111,,ul. Warszawska 9 lok. 4 | 15-062 Białystok | woj. podlaskie
036,Agnieszka Buczyńska,Polska2050-TD,aktywny,25,*Biuro Poselskie Posłanki na Sejm RP Agnieszki Buczyńskiej,ul. Łagiewniki 56,80-855,Gdańsk,pomorskie,tel. 694 125 252,biuro@abuczynska.pl,ul. Łagiewniki 56 | 80-855 Gdańsk | woj. pomorskie
039,Elżbieta Burkiewicz,Polska2050-TD,aktywny,23,*Biuro Poselskie Posłanki Elżbiety Burkiewicz,Al. Niepodległości 8,39-300,Mielec,podkarpackie,tel. 733 112 050,elzbieta.burkiewicz@polska2050.pl,Al. Niepodległości 8 | 39-300 Mielec | woj. podkarpackie
039,Elżbieta Burkiewicz,Polska2050-TD,aktywny,23,Biuro Poselskie Elżbiety Burkiewicz w Stalowej Woli,Al. Jana Pawła II 25a lok. 605,37-450,Stalowa Wola,podkarpackie,,,Al. Jana Pawła II 25a lok. 605 | 37-450 Stalowa Wola | woj. podkarpackie
040,Lidia Burzyńska,PiS,aktywny,28,*Biuro Poselskie Poseł na Sejm RP Lidii Burzyńskiej,Al. Najświętszej Maryi Panny 24 lok. 10,42-200,Częstochowa,śląskie,"tel. (34) 322 40 23, 507 437 679",lidia.burzynska@sejm.pl,Al. Najświętszej Maryi Panny 24 lok. 10 | 42-200 Częstochowa | woj. śląskie
040,Lidia Burzyńska,PiS,aktywny,28,Biuro Poselskie Poseł na Sejm RP Lidii Burzyńskiej,ul. 11 listopada 8,42-100,Kłobuck,śląskie,"tel. 507 437 679,(34) 322 40 23",lidia.burzynska@sejm.pl,ul. 11 listopada 8 | 42-100 Kłobuck | woj. śląskie
040,Lidia Burzyńska,PiS,aktywny,28,Biuro Poselskie Posła na Sejm RP Lidii Burzyńskiej,ul. Źródlana 2,42-235,Lelów,śląskie,tel. 507 437 679,,ul. Źródlana 2 | 42-235 Lelów | woj. śląskie
041,Marek Jan Chmielewski,KO,aktywny,2,*Biuro Poselskie Marek Jan Chmielewski,ul. Rynek 23,58-200,Dzierżoniów,dolnośląskie,tel. 510 385 364,biuroposelskie.chmielewski@gmail.com,ul. Rynek 23 | 58-200 Dzierżoniów | woj. dolnośląskie
041,Marek Jan Chmielewski,KO,aktywny,2,Biuro Poselskie Posła Marek Jan Chmielewski,ul. Hotelowa 1,58-260,Bielawa,dolnośląskie,tel. 510 385 364,marek.chmielewski@sejm.pl,ul. Hotelowa 1 | 58-260 Bielawa | woj. dolnośląskie
041,Marek Jan Chmielewski,KO,aktywny,2,Biuro Poselskie Posła Marek Jan Chmielewski,ul. 1 Maja 7,57-200,Ząbkowice Śląskie,dolnośląskie,tel. 510 385 364,marek.chmielewski@sejm.pl,ul. 1 Maja 7 | 57-200 Ząbkowice Śląskie | woj. dolnośląskie
042,Zbigniew Chmielowiec,PiS,aktywny,23,*Biuro Poselskie Posła Zbigniewa Chmielowca,ul. Mickiewicza 5,36-100,Kolbuszowa,podkarpackie,tel. (17) 227 10 01,zbigniew.chmielowiec@sejm.pl,ul. Mickiewicza 5 | 36-100 Kolbuszowa | woj. podkarpackie
042,Zbigniew Chmielowiec,PiS,aktywny,23,"Biuro Poselskie Ewy Leniart, Zbigniewa Chmielowca, Marcina Warchoła",ul. Szkolna 4,39-400,Nowa Dęba,podkarpackie,tel. 698 645 548,biuropisnowadeba@gmail.com,ul. Szkolna 4 | 39-400 Nowa Dęba | woj. podkarpackie
043,Artur Chojecki,PiS,aktywny,35,*Biuro Poselskie Posła na Sejm RP Artura Chojeckiego,ul. T. Kościuszki 13 lok. 123,10-501,Olsztyn,warmińsko-mazurskie,,artur.chojecki@sejm.pl,ul. T. Kościuszki 13 lok. 123 | 10-501 Olsztyn | woj. warmińsko-mazurskie
044,Kazimierz Bogusław Choma,PiS,aktywny,6,*Biuro Poselskie Kazimierza Chomy,"ul. Hieronima Dekutowskiego ""Zapory"" 6",23-204,Kraśnik,lubelskie,tel. 665 539 400,biuro.kazimierzchoma@wp.pl,"ul. Hieronima Dekutowskiego ""Zapory"" 6 | 23-204 Kraśnik | woj. lubelskie"
044,Kazimierz Bogusław Choma,PiS,aktywny,6,Biuro Poselskie Kazimierza Chomy,ul. Kościuszki 10A,24-300,Opole Lubelskie,lubelskie,tel. 665 539 400,biuro.kazimierzchoma@wp.pl,ul. Kościuszki 10A | 24-300 Opole Lubelskie | woj. lubelskie
045,Dominika Chorosińska,PiS,aktywny,20,*Biuro Poselskie Dominiki Chorosińskiej,ul. Nowogrodzka 42 lok. 17,00-695,Warszawa,mazowieckie,tel. 798 840 321,dominika.chorosinska@sejm.pl,ul. Nowogrodzka 42 lok. 17 | 00-695 Warszawa | woj. mazowieckie
046,Tadeusz Chrzan,PiS,aktywny,22,*Biuro Poselskie Posła na Sejm RP Tadeusza Chrzana,ul. Jana Pawła II 17,37-500,Jarosław,podkarpackie,tel. (16) 624 63 01,tadeusz.chrzan@sejm.pl,ul. Jana Pawła II 17 | 37-500 Jarosław | woj. podkarpackie
046,Tadeusz Chrzan,PiS,aktywny,22,Biuro Poselskie Posła na Sejm RP Tadeusza Chrzana,ul. Piłsudskiego 5,38-600,Lesko,podkarpackie,,tadeusz.chrzan@sejm.pl,ul. Piłsudskiego 5 | 38-600 Lesko | woj. podkarpackie
046,Tadeusz Chrzan,PiS,aktywny,22,Biuro Poselskie Posła na Sejm RP Tadeusza Chrzana,Pl. Mickiewicza 3,37-200,Przeworsk,podkarpackie,,tadeusz.chrzan@sejm.pl,Pl. Mickiewicza 3 | 37-200 Przeworsk | woj. podkarpackie
046,Tadeusz Chrzan,PiS,aktywny,22,Biuro Poselskie w Sanoku,ul. 3 Maja 5,30-500,Sanok,podkarpackie,tel. 507 172 065,biurosanok.pis@gmail.com,ul. 3 Maja 5 | 30-500 Sanok | woj. podkarpackie
047,Alicja Chybicka,KO,aktywny,3,*Biuro Poselskie Poseł Alicji Chybickiej,ul. Ofiar Oświęcimskich 36,50-059,Wrocław,dolnośląskie,tel. 605 585 746,biuro@alicjachybicka.pl,ul. Ofiar Oświęcimskich 36 | 50-059 Wrocław | woj. dolnośląskie
048,Anna Ewa Cicholska,PiS,aktywny,16,*Biuro Poselskie Posła Anny Cicholskiej,ul. Mickiewicza 3,06-400,Ciechanów,mazowieckie,tel. 664 364 918,biuro.annacicholska@wp.pl,ul. Mickiewicza 3 | 06-400 Ciechanów | woj. mazowieckie
049,Janusz Cichoń,KO,aktywny,35,*Biuro Poselskie Posła na Sejm RP Janusza Cichonia,ul. Curie-Skłodowskiej 12A lok. 2,10-110,Olsztyn,warmińsko-mazurskie,tel. 503 156 083,janusz.cichon@sejm.pl,ul. Curie-Skłodowskiej 12A lok. 2 | 10-110 Olsztyn | woj. warmińsko-mazurskie
049,Janusz Cichoń,KO,aktywny,35,Biuro Poselskie Posła na Sejm RP Janusza Cichonia,ul. Kościuszki 1,12-100,Szczytno,warmińsko-mazurskie,tel. 506 137 058,janusz.cichon@sejm.pl,ul. Kościuszki 1 | 12-100 Szczytno | woj. warmińsko-mazurskie
050,Krzysztof Ciecióra,PiS,aktywny,10,*Biuro Poselskie Krzysztof Ciecióra,ul. Piłsudskiego 4,97-500,Radomsko,łódzkie,,,ul. Piłsudskiego 4 | 97-500 Radomsko | woj. łódzkie
050,Krzysztof Ciecióra,PiS,aktywny,10,"Biuro Poselskie Krzysztofa Ciecióry, Anny Dąbrowskiej-Banaszek, Andrzeja Guta-Mostowego, Marcina Ociepy, Grzegorza Piechowiaka",ul. Wiejska 7 lok. 15,00-480,Warszawa,mazowieckie,tel. 691 414 393,,ul. Wiejska 7 lok. 15 | 00-480 Warszawa | woj. mazowieckie
051,Janusz Cieszyński,PiS,aktywny,35,*Biuro Posła na Sejm RP Janusza Cieszyńskiego w Ełku,ul. Słowackiego 10 lok. 4UA,19-300,Ełk,warmińsko-mazurskie,tel. (87) 520 14 10,janusz.cieszynski@sejm.pl,ul. Słowackiego 10 lok. 4UA | 19-300 Ełk | woj. warmińsko-mazurskie
052,Michał Cieślak,PiS,aktywny,33,*Michał Cieślak Biuro Poselskie,ul. Tadeusza Kościuszki 60 lok. 203,28-100,Busko Zdrój,świętokrzyskie,tel. (41) 376 60 32,biuro.michal.cieslak@gmail.com,ul. Tadeusza Kościuszki 60 lok. 203 | 28-100 Busko Zdrój | woj. świętokrzyskie
053,Żaneta Cwalina-Śliwowska,Polska2050-TD,aktywny,18,*Biuro Poselskie - Żaneta Cwalina - Śliwowska,ul. Głowackiego 30,07-410,Ostrołęka,mazowieckie,tel. 690 474 808,zaneta.cwalina.sliwowska.biuro@gmail.com,ul. Głowackiego 30 | 07-410 Ostrołęka | woj. mazowieckie
054,Krzysztof Czarnecki,PiS,aktywny,38,*Biuro Poselskie Posła na Sejm RP Krzysztofa Czarneckiego PiS,ul. Sikorskiego 9,64-920,Piła,wielkopolskie,,,ul. Sikorskiego 9 | 64-920 Piła | woj. wielkopolskie
054,Krzysztof Czarnecki,PiS,aktywny,38,Biuro Poselskie Posła na Sejm RP Krzysztofa Czarneckiego - filia w Trzciance,ul. Gen. Władysława Sikorskiego 57,64-980,Trzcianka,wielkopolskie,,,ul. Gen. Władysława Sikorskiego 57 | 64-980 Trzcianka | woj. wielkopolskie
054,Krzysztof Czarnecki,PiS,aktywny,38,Biuro Poselskie Posła na Sejm RP Krzysztofa Czarneckiego - filia w Wągrowcu,ul. Kolejowa 2,62-100,Wągrowiec,wielkopolskie,,,ul. Kolejowa 2 | 62-100 Wągrowiec | woj. wielkopolskie
055,Witold Wojciech Czarnecki,PiS,aktywny,37,*Biuro Poselskie Witolda Czarneckiego,ul. Dworcowa 8 lok. 7,62-510,Konin,wielkopolskie,tel. (63) 240 02 18 fax (63) 240 02 18,witold.czarnecki@sejm.pl,ul. Dworcowa 8 lok. 7 | 62-510 Konin | woj. wielkopolskie
055,Witold Wojciech Czarnecki,PiS,aktywny,37,Biuro Poselskie Witolda Czarneckiego,ul. Rynek 44,62-710,Władysławów,wielkopolskie,,witold.czarnecki@sejm.pl,ul. Rynek 44 | 62-710 Władysławów | woj. wielkopolskie
056,Przemysław Czarnek,PiS,aktywny,6,*Biuro Posła na Sejm RP Przemysława Czarnka,ul. Rayskiego 3,20-060,Lublin,lubelskie,tel. (81) 473 58 81,kontakt@czarnek.pl,ul. Rayskiego 3 | 20-060 Lublin | woj. lubelskie
057,Arkadiusz Czartoryski,PiS,aktywny,18,*Biuro Poselskie Arkadiusza Czartoryskiego,ul. Janusza Korczaka 4,07-410,Ostrołęka,mazowieckie,tel. (29) 766 50 17,biuroczartoryski@wp.pl,ul. Janusza Korczaka 4 | 07-410 Ostrołęka | woj. mazowieckie
057,Arkadiusz Czartoryski,PiS,aktywny,18,Biuro Poselskie Arkadiusza Czartoryskiego,ul. Krótka 3,07-300,Ostrów Mazowiecka,mazowieckie,,,ul. Krótka 3 | 07-300 Ostrów Mazowiecka | woj. mazowieckie
058,Włodzimierz Czarzasty,Lewica,aktywny,32,*Biuro Poselskie Włodzimierza Czarzastego,ul. Warszawska 1 lok. 2,41-200,Sosnowiec,śląskie,tel. 888 494 924,w.czarzasty.sejm@gmail.com,ul. Warszawska 1 lok. 2 | 41-200 Sosnowiec | woj. śląskie
058,Włodzimierz Czarzasty,Lewica,aktywny,32,Biuro Poselskie Włodzimierza Czarzastego- Filia w Jaworznie,ul. Słowackiego 4a,43-600,Jaworzno,śląskie,tel. 664 141 624,w.czarzasty.sejm@gmail.com,ul. Słowackiego 4a | 43-600 Jaworzno | woj. śląskie
059,Jacek Czerniak,Lewica,aktywny,6,*Biuro Poselskie Jacka Czerniaka Posła na Sejm RP,ul. Beliniaków 7,20-045,Lublin,lubelskie,tel. 798 721 076,jacek.czerniak@sejm.pl,ul. Beliniaków 7 | 20-045 Lublin | woj. lubelskie
059,Jacek Czerniak,Lewica,aktywny,6,Biuro Poselskie Jacka Czerniaka,ul. Lubelska 2,24-300,Opole Lubelskie,lubelskie,tel. 798 721 076,,ul. Lubelska 2 | 24-300 Opole Lubelskie | woj. lubelskie
059,Jacek Czerniak,Lewica,aktywny,6,Biuro Poselskie Jacka Czerniaka,ul. Eustchiewicza 3,24-100,Puławy,lubelskie,tel. 798 721 076,,ul. Eustchiewicza 3 | 24-100 Puławy | woj. lubelskie
